expression,Preorder,Inorder,Postorder,Calculate
(9.99),9.99,(9.99),9.99,9.99
(5.67),5.67,(5.67),5.67,5.67
(0.00),0.00,(0.00),0.00,0.00
(1.23),1.23,(1.23),1.23,1.23
(5.67/6.78),/ 5.67 6.78,((5.67)/(6.78)),5.67 6.78 /,0.84
(7.89+8.90),+ 7.89 8.90,((7.89)+(8.90)),7.89 8.90 +,16.79
(7.89+8.90),+ 7.89 8.90,((7.89)+(8.90)),7.89 8.90 +,16.79
(1.23+2.34),+ 1.23 2.34,((1.23)+(2.34)),1.23 2.34 +,3.57
(3.45*4.56),* 3.45 4.56,((3.45)*(4.56)),3.45 4.56 *,15.73
(5.67/6.78),/ 5.67 6.78,((5.67)/(6.78)),5.67 6.78 /,0.84
(3.45*4.56),* 3.45 4.56,((3.45)*(4.56)),3.45 4.56 *,15.73
(4.56+(5.67+6.78)),+ 4.56 + 5.67 6.78,((4.56)+((5.67)+(6.78))),4.56 5.67 6.78 + +,17.01
(1.23+(2.34+3.45)),+ 1.23 + 2.34 3.45,((1.23)+((2.34)+(3.45))),1.23 2.34 3.45 + +,7.02
((7.89+8.90)*9.01),* + 7.89 8.90 9.01,(((7.89)+(8.90))*(9.01)),7.89 8.90 + 9.01 *,151.28
((4.56*5.67)/6.78),/ * 4.56 5.67 6.78,(((4.56)*(5.67))/(6.78)),4.56 5.67 * 6.78 /,3.81
((1.23+2.34)*3.45),* + 1.23 2.34 3.45,(((1.23)+(2.34))*(3.45)),1.23 2.34 + 3.45 *,12.32
((1.23+2.34)+(3.45+4.56)),+ + 1.23 2.34 + 3.45 4.56,(((1.23)+(2.34))+((3.45)+(4.56))),1.23 2.34 + 3.45 4.56 + +,11.58
((5.67+6.78)*(7.89/8.90)),* + 5.67 6.78 / 7.89 8.90,(((5.67)+(6.78))*((7.89)/(8.90))),5.67 6.78 + 7.89 8.90 / *,11.04
((1.23*2.34)+(3.45+4.56)),+ * 1.23 2.34 + 3.45 4.56,(((1.23)*(2.34))+((3.45)+(4.56))),1.23 2.34 * 3.45 4.56 + +,10.89
(((1.23+2.34)*3.45)+4.56),+ * + 1.23 2.34 3.45 4.56,((((1.23)+(2.34))*(3.45))+(4.56)),1.23 2.34 + 3.45 * 4.56 +,16.88
((1.23*2.34)+(3.45/4.56)),+ * 1.23 2.34 / 3.45 4.56,(((1.23)*(2.34))+((3.45)/(4.56))),1.23 2.34 * 3.45 4.56 / +,3.63
(((5.67*6.78)/7.89)+8.90),+ / * 5.67 6.78 7.89 8.90,((((5.67)*(6.78))/(7.89))+(8.90)),5.67 6.78 * 7.89 / 8.90 +,13.77
((1.23+2.34)*(3.45+(4.56+5.67))),* + 1.23 2.34 + 3.45 + 4.56 5.67,(((1.23)+(2.34))*((3.45)+((4.56)+(5.67)))),1.23 2.34 + 3.45 4.56 5.67 + + *,48.84
((1.23+(2.34+(3.45*4.56)))-5.67),- + 1.23 + 2.34 * 3.45 4.56 5.67,(((1.23)+((2.34)+((3.45)*(4.56))))-(5.67)),1.23 2.34 3.45 4.56 * + + 5.67 -,13.63
((1.23+2.34)+(3.45+(4.56+(5.67+6.78)))),+ + 1.23 2.34 + 3.45 + 4.56 + 5.67 6.78,(((1.23)+(2.34))+((3.45)+((4.56)+((5.67)+(6.78))))),1.23 2.34 + 3.45 4.56 5.67 6.78 + + + +,24.03
((1.23+(2.34+(3.45*(4.56+5.67))))+6.78),+ + 1.23 + 2.34 * 3.45 + 4.56 5.67 6.78,(((1.23)+((2.34)+((3.45)*((4.56)+(5.67)))))+(6.78)),1.23 2.34 3.45 4.56 5.67 + * + + 6.78 +,45.64
